rank,roster_id,owner_id,team_name,total_weeks,wins,losses,win_percentage,total_bench_points,average_bench_points,best_week_points,best_week_number,worst_week_points,worst_week_number
1,4,1241182181762543616,TheOnlySarge,2,2,0,1.0,43.9,21.95,43.9,1,0.0,2
2,1,842241309631684608,tomgray,2,1,1,0.5,80.0,40.0,80.0,1,0.0,2
3,5,1155320384868003840,norfolknchance23,2,1,1,0.5,75.36,37.68,75.36,1,0.0,2
4,8,1015233876345638912,timoslimo,2,1,1,0.5,64.16,32.08,59.76,1,4.4,2
5,12,1263803902390710272,Tumble0,2,1,1,0.5,58.8,29.4,58.8,1,0.0,2
6,3,1180047268102877184,NicksKnack,2,1,1,0.5,51.88,25.94,27.48,1,24.4,2
7,9,1254566939422896128,H3AN5,2,1,1,0.5,46.92,23.46,46.92,1,0.0,2
8,7,607410971987742720,nev419,2,1,1,0.5,41.42,20.71,41.42,1,0.0,2
9,2,1240849287072468992,FancyLad,2,1,1,0.5,37.9,18.95,37.9,1,0.0,2
10,6,1248232037073035264,HuskyinOz,2,1,1,0.5,23.6,11.8,21.9,1,1.7,2
11,11,1261262324707098624,NotTooShabby67,2,1,1,0.5,13.6,6.8,12.1,1,1.5,2
12,10,1261245772238688256,BootyClapper22,2,0,2,0.0,23.8,11.9,23.8,1,0.0,2
